,1 system,,2 systems,,5 systems,,10 systems,,14 systems,
METRIC,PERL,C++,PERL,C++,PERL,C++,PERL,C++,PERL,C++
SP,"153,00","209,51","257,68","313,47","563,91","665,84","1108,64","1164,01","1535,44","1572,94"
SR,"13242,36","13853,64","14945,96","15466,39","22185,55","22452,22","29870,90","30811,99","37953,12","38082,85"
CE,"75,87","85,14","107,43","100,77","200,00","147,58","379,15","246,79","527,41","280,85"
ESA,"68,90","72,53","160,57","163,08","409,73","421,37","915,49","905,54","1188,21","1216,75"
GTM,"4,85","3,03","9,29","6,23","21,80","16,35","45,87","32,31","64,64","45,66"
LEM,"1,40","1,77","2,89","3,06","6,78","7,39","13,51","14,46","19,32","19,97"
METEOR,"26,12","24,21","55,42","51,01","133,33","127,92","277,41","258,94","395,60","342,33"
NE,"11,97","4,64","25,13","8,56","55,24","22,35","132,75","47,72","185,81","65,00"
NGRAM,"44,38","43,46","87,53","84,92","222,35","217,61","439,96","440,18","618,29","561,69"
O,"0,00","2,20","0,00","4,38","0,02","11,18","0,01","21,89","0,02","31,37"
PER,"0,35","1,24","1,21","2,19","2,76","4,74","5,56","9,82","7,36","13,24"
ROUGE,"88,29","106,03","176,71","198,20","456,11","487,07","931,35","1055,28","1332,24","1408,96"
TER,"440,89","513,06","864,11","998,77","2217,26","2509,01","4350,85","5170,91","6070,81","6577,34"
WER,"7,12","7,58","14,26","14,92","34,73","36,56","69,46","77,16","97,39","96,68"
