,1 system,,2 systems,,5 systems,,10 systems,,14 systems,
METRIC,PERL,C++,PERL,C++,PERL,C++,PERL,C++,PERL,C++
SP,"91,52","108,39","136,54","162,86","299,80","330,73","572,04","644,84","881,65","870,32"
SR,"8926,25","6694,70","7446,55","8092,93","10338,95","10845,15","21888,25","16207,13","20320,74","20218,00"
CE,"57,16","52,00","69,62","65,76","148,96","109,67","243,35","177,55","345,19","228,39"
ESA,"51,33","41,39","78,97","86,09","221,93","228,39","410,04","458,57","571,37","642,98"
GTM,"2,95","2,53","5,43","5,14","15,23","12,17","26,34","29,39","34,41","35,17"
LEM,"0,86","1,43","1,62","2,58","4,52","6,39","7,98","12,02","10,84","16,40"
METEOR,"23,99","24,42","45,04","48,25","123,81","129,20","212,81","255,44","281,73","353,39"
NE,"5,11","2,62","10,97","5,45","27,34","14,74","48,02","30,61","66,55","41,16"
NGRAM,"25,18","22,70","47,84","45,88","133,72","123,73","241,24","245,52","325,88","342,09"
O,"0,91","1,56","1,86","2,85","4,67","6,30","8,54","12,07","11,55","16,99"
PER,"0,25","0,79","0,50","1,48","1,23","3,36","2,19","6,43","3,01","8,40"
ROUGE,"35,98","50,51","87,38","103,76","162,72","268,72","287,48","537,10","397,37","718,33"
TER,"331,99","330,60","636,70","649,59","1769,84","1860,60","3329,15","3721,38","4353,38","5159,33"
WER,"3,45","3,88","7,27","7,80","17,95","19,57","34,73","39,69","42,77","55,07"
