Metrics,1,2,4,8,16,32
SP,"196,31","181,30","178,34","180,35","193,62","221,80"
SR,"4043,41","1819,54","1108,58","662,57","362,79","249,01"
CE,"38,22","37,58","29,29","33,92","31,26","31,41"
ESA,"71,36","49,95","31,20","19,30","14,50","9,96"
GTM,"3,11","2,35","1,83","3,50","2,21","5,29"
LEM,"1,70","1,45","1,75","3,08","4,25","4,39"
METEOR,"23,14","20,93","19,42","18,53","17,88","23,57"
NE,"7,58","6,00","3,72","3,28","4,04","8,64"
NGRAM,"36,08","17,99","11,69","9,25","7,38","11,13"
O,"39,48","14,21","18,40","51,91","11,89","16,00"
PER,"1,18","0,94","0,85","1,52","3,88","3,40"
ROUGE,"27,21","15,81","9,09","5,90","5,35","7,89"
TER,"484,54","313,37","228,15","96,46","79,71","52,78"
WER,"3,07","2,11","1,66","1,58","2,61","3,46"
