Metrics,1,2,4,8,16,32
SP,"69,60","48,52","38,67","33,39","32,21","35,56"
SR,"3726,87","1772,20","909,09","484,34","303,26","167,84"
CE,"37,60","32,36","28,28","27,19","25,26","24,76"
ESA,"20,41","12,45","7,44","6,06","4,63","3,14"
GTM,"1,73","1,23","1,20","1,22","1,15","1,30"
LEM,"0,80","0,68","0,82","0,88","1,07","1,23"
METEOR,"20,14","17,71","19,00","17,93","16,99","16,76"
NE,"5,35","2,32","1,73","1,52","1,55","1,74"
NGRAM,"27,93","13,26","9,26","6,78","5,59","5,08"
O,"15,95","0,89","0,68","0,90","1,24","1,86"
PER,"0,63","0,45","0,38","0,47","0,60","0,83"
ROUGE,"22,40","14,11","7,22","3,90","2,48","1,85"
TER,"266,55","215,23","136,81","105,66","71,85","47,93"
WER,"2,01","1,28","0,78","0,63","0,74","0,89"
