Metrics,1,2,4,8,16,32
SP,"134,53","118,07","110,18","108,83","118,55","131,01"
SR,"3560,61","1769,73","1021,55","523,24","279,96","190,96"
CE,"40,47","31,33","27,36","25,42","24,79","25,63"
ESA,"37,87","18,58","10,73","6,80","5,07","14,33"
GTM,"2,36","1,94","1,72","1,90","2,30","3,31"
LEM,"1,19","1,15","1,24","1,58","2,05","3,13"
METEOR,"22,00","21,28","17,76","17,33","16,85","17,46"
NE,"7,46","4,33","3,40","3,30","3,78","4,95"
NGRAM,"32,86","15,89","10,15","7,87","6,96","8,08"
O,"43,79","43,26","13,79","3,50","5,11","9,44"
PER,"1,24","0,85","0,86","1,06","1,58","2,61"
ROUGE,"29,29","15,14","8,52","5,40","4,17","4,57"
TER,"366,88","233,19","148,48","94,41","65,55","44,79"
WER,"2,42","1,57","1,40","1,41","1,92","3,00"
